model,stdev
original,0.726619
original,0.961928
original,0.9467142
original,0.849435
original,1.0414203
original,1.0251409
original,0.6805303
original,0.63945186
original,0.6918607
original,1.0346055
original,1.0746963
original,0.9084306
original,1.2020444
original,0.8165533
original,0.7782317
original,1.2770422
original,0.62508285
original,0.97724134
original,0.5058734
original,0.8272013
original,0.4050163
original,0.5862947
original,0.531497
original,0.85140735
original,1.2884326
original,0.7097943
original,1.07247
original,0.48739347
original,1.0321567
original,0.44048035
original,0.89714265
original,0.6686708
original,0.93270844
original,1.0283713
original,0.62418664
original,0.53333974
original,0.7524826
original,0.738479
original,1.052674
original,1.0031532
original,0.49955866
original,0.89517075
original,0.8716405
original,0.38604525
original,0.87702584
original,0.77114433
original,1.2412635
original,0.8981251
original,0.8448955
original,0.81087315
original,0.69228387
original,1.0807153
original,1.2929981
original,0.92865026
original,0.41339356
original,0.6656857
original,0.6703787
original,0.9143417
original,0.7467841
original,0.80011564
original,0.5092732
original,0.7904135
original,0.47555566
original,0.54443693
original,0.28970465
original,0.3748711
original,0.42013675
original,0.5682023
original,0.6783942
original,1.0176413
original,1.0373974
original,0.44660157
original,1.0848008
original,1.0446439
original,0.3672453
original,0.55652976
original,0.3796692
original,1.0086787
original,1.0988802
original,0.4409758
original,0.47121695
original,0.47495446
original,0.5645454
original,0.45247063
original,0.8814133
original,1.1103016
original,0.88672125
original,0.82137
original,1.1006889
original,0.41908142
original,0.7104286
original,0.99280673
original,0.86671746
original,0.9296205
original,1.1608666
original,0.70740396
original,0.7069322
original,0.7635853
original,0.3645486
original,0.3017192
original,0.49937475
original,0.32274023
original,0.27484697
original,0.5859277
original,0.7255806
original,0.75320286
original,1.2838248
original,0.94464266
original,0.5038557
original,0.75261396
original,0.37319142
original,0.5882402
original,1.2142272
original,0.53509605
original,0.6695052
original,0.6868754
original,0.70713717
original,0.43174472
original,0.39734158
original,0.7762528
original,0.63780916
original,0.318752
original,0.6269232
original,0.928035
original,0.5754503
original,0.8839195
original,0.52580655
original,0.89033276
original,0.7581947
original,0.54667383
original,0.8323697
original,0.78190523
original,0.53498155
original,0.78550655
original,1.1019157
original,0.46125802
original,0.6241133
original,0.93807334
original,0.51380557
original,0.7482559
original,0.6501405
original,0.45661825
original,0.65511984
original,0.29967332
original,1.0600559
original,0.4629443
original,0.76865155
original,0.4132054
original,0.5028803
original,0.55279034
original,0.56358516
